名字,位置索引,外形ID,模型名字
TianNvLingQi,8,26008,没名字
TianNvLingQi,9,26009,没名字
TianNvLingQi,10,26010,没名字
TianNvLingQi,11,26011,没名字
TianNvLingQi,12,26012,没名字
TianNvLingQi,13,26013,没名字
TianNvLingQi,14,26014,没名字
TianNvLingQi,15,26015,没名字
TianNvHuaNian,1,25001,天女花辇
TianNvHuaNian,2,25002,没名字
TianNvHuaNian,3,25003,没名字
TianNvHuaNian,4,25004,没名字
TianNvHuaNian,5,25005,没名字
TianNvHuaNian,6,25006,没名字
TianNvHuaNian,7,25007,没名字
TianNvHuaNian,8,25008,没名字
TianNvHuaNian,9,25009,没名字
TianNvHuaNian,10,25010,没名字
TianNvHuaNian,11,25011,没名字
TianNvHuaNian,12,25012,没名字
TianNvHuaNian,13,25013,没名字
TianNvHuaNian,14,25014,没名字
TianNvHuaNian,15,25015,没名字
